"(2.03965427, -0.34814855)","(2.04365427, -0.34814855)","(2.04365427, -0.34414855)","(2.03965427, -0.34414855)"
"(2.03965427, -0.35214855)","(2.04365427, -0.35214855)","(2.04365427, -0.34814855)","(2.03965427, -0.34814855)"
"(2.03965427, -0.35614855)","(2.04365427, -0.35614855)","(2.04365427, -0.35214855)","(2.03965427, -0.35214855)"
"(2.04365427, -0.35614855)","(2.04765427, -0.35614855)","(2.04765427, -0.35214855)","(2.04365427, -0.35214855)"
"(2.04365427, -0.35214855)","(2.04765427, -0.35214855)","(2.04765427, -0.34814855)","(2.04365427, -0.34814855)"
"(2.04365427, -0.34814855)","(2.04765427, -0.34814855)","(2.04765427, -0.34414855)","(2.04365427, -0.34414855)"
"(2.04765427, -0.34759855)","(2.05165427, -0.34759855)","(2.05165427, -0.34414855)","(2.04765427, -0.34414855)"
"(2.05165427, -0.34759855)","(2.05565427, -0.34759855)","(2.05565427, -0.34414855)","(2.05165427, -0.34414855)"
"(2.05565427, -0.34759855)","(2.05965427, -0.34759855)","(2.05965427, -0.34414855)","(2.05565427, -0.34414855)"
"(2.05965427, -0.34759855)","(2.06365427, -0.34759855)","(2.06365427, -0.34414855)","(2.05965427, -0.34414855)"
"(2.06365427, -0.34814855)","(2.06765427, -0.34814855)","(2.06765427, -0.34414855)","(2.06365427, -0.34414855)"
"(2.06365427, -0.35214855)","(2.06765427, -0.35214855)","(2.06765427, -0.34814855)","(2.06365427, -0.34814855)"
"(2.06365427, -0.35614855)","(2.06765427, -0.35614855)","(2.06765427, -0.35214855)","(2.06365427, -0.35214855)"
"(2.05965427, -0.35614855)","(2.06365427, -0.35614855)","(2.06365427, -0.35214855)","(2.05965427, -0.35214855)"
"(2.05565427, -0.35614855)","(2.05965427, -0.35614855)","(2.05965427, -0.35214855)","(2.05565427, -0.35214855)"
"(2.05165427, -0.35614855)","(2.05565427, -0.35614855)","(2.05565427, -0.35214855)","(2.05165427, -0.35214855)"
"(2.04765427, -0.35614855)","(2.05165427, -0.35614855)","(2.05165427, -0.35214855)","(2.04765427, -0.35214855)"
"(2.06765427, -0.35614855)","(2.07165427, -0.35614855)","(2.07165427, -0.35214855)","(2.06765427, -0.35214855)"
"(2.07165427, -0.35614855)","(2.07565427, -0.35614855)","(2.07565427, -0.35214855)","(2.07165427, -0.35214855)"
"(2.07565427, -0.35614855)","(2.07965427, -0.35614855)","(2.07965427, -0.35214855)","(2.07565427, -0.35214855)"
"(2.07965427, -0.35614855)","(2.08365427, -0.35614855)","(2.08365427, -0.35314855)","(2.07965427, -0.35314855)"
"(2.08365427, -0.35614855)","(2.08765427, -0.35614855)","(2.08765427, -0.35214855)","(2.08365427, -0.35214855)"
"(2.08765427, -0.35614855)","(2.09165427, -0.35614855)","(2.09165427, -0.35214855)","(2.08765427, -0.35214855)"
